기간	대분류	분류	도보	자전거	자전거+기타교통수단	오토바이	버스	지하철(철도)	버스+지하철	택시	승용차	승용차+버스	승용차+지하철	기타
2019	서울시	서울시	16.2	2.3	0.1	0.5	27.1	8.9	23.1	0.1	20.5	0.6	0.5	0.1
2019	성별	남자	12.1	2.7	0.1	0.8	22.2	9	23.1	0.1	28.4	0.7	0.7	0.2
2019	성별	여자	21.8	1.7	0.1	0.1	33.9	8.9	23.1	0.1	9.8	0.4	0.1	0
2019	연령별	10대	40.2	8.9	0.2	0	34.8	3	11.6	0	1.1	-	0.1	0
2019	연령별	20대	9.2	2.3	0.1	0.4	29.4	10.9	40.1	0.2	7	0.3	0.1	0.1
2019	연령별	30대	6.3	0.9	0	0.4	28.1	12	28.5	0.2	22	0.8	0.6	0.2
2019	연령별	40대	11.6	1.3	0.1	0.4	25.9	9	19.4	0.2	30.8	0.7	0.7	0
2019	연령별	50대	18.5	1.8	0.1	0.6	23.9	6.9	15.3	0.1	31.3	0.6	0.8	0.1
2019	연령별	60대 이상	32.6	2.7	0.1	1.2	24.1	7.1	10.3	0.1	20.6	0.6	0.4	0.1
2019	학력별	중졸 이하	46.2	3.8	0.1	1.5	25.3	5.2	8.3	-	9.3	0.1	-	0.2
2019	학력별	고졸 이하	28.2	3.8	0	0.9	30.8	5.5	12.9	0.2	16.9	0.4	0.3	0
2019	학력별	대졸 이하	8.1	1.5	0.1	0.2	26.1	10.7	29.2	0.1	22.5	0.7	0.6	0.1
2019	학력별	대학원 이상	14.3	0.7	0.1	0.2	14.7	10.7	18.8	0.1	39.7	0.3	0.3	0.1
2019	소득별	100 만원 미만	34.6	8.9	0.4	1	31.1	7.2	15.2	-	1.6	-	-	-
2019	소득별	100-200만 미만	42.8	1.4	0.4	1.2	30.2	7.6	10.5	0.7	5.3	0	-	-
2019	소득별	200-300만 미만	19	2.1	0.1	1.5	32.4	8.6	22.4	0.1	13.4	0.2	0.2	0.1
2019	소득별	300-400만 미만	15.5	2.2	0.1	0.4	26.5	9.6	21.5	0.1	22.9	0.6	0.5	0
2019	소득별	400-500만 미만	14.7	2.1	0.1	0.4	26.4	8.5	23.3	0.1	23.2	0.5	0.7	0
2019	소득별	500만 이상	13.3	2.2	0.1	0.3	25.9	9.1	25	0.1	22.5	0.7	0.5	0.2
2019	혼인상태별	기혼	14.5	1.6	0.1	0.6	25.2	8.9	18.3	0.1	29.2	0.8	0.7	0.1
2019	혼인상태별	미혼	14.8	3.3	0.1	0.5	29.5	9.6	32.2	0.1	9.4	0.2	0.2	0.1
2019	혼인상태별	이혼/사별/기타	31.8	1.9	0	0.5	28.2	6	12.8	0.2	17.4	0.9	0.3	-
2019	지역대분류	도심권	20.9	1.9	0.1	0.8	32.4	8.6	18.5	0.1	15.7	1	0.2	-
2019	지역대분류	동북권	17.3	2.3	0.1	0.5	26.2	9.4	23	0.2	20.1	0.4	0.4	0.1
